INFO  2021-09-05 23:49:08,345 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2021-09-05 23:49:08,459 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2021-09-05 23:49:08,514 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2021-09-05 23:49:08,645 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2021-09-05 23:49:08,698 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2021-09-05 23:49:08,832 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2021-09-05 23:49:08,864 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2021-09-05 23:49:08,986 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2021-09-05 23:49:09,910 MappingDataService::? - GetWardTypeMappingData : MethodStart
INFO  2021-09-05 23:49:10,020 MappingDataService::? - GetWardTypeMappingData : MethodFinish
INFO  2021-09-05 23:49:11,114 MappingDataService::? - GetWardTypeMappingDataWithModel : MethodStart
INFO  2021-09-05 23:49:11,223 MappingDataService::? - GetWardTypeMappingDataWithModel : MethodFinish
INFO  2021-09-05 23:49:11,262 MappingDataService::? - SaveWardTypeMappingData : MethodStart
INFO  2021-09-05 23:49:11,562 MappingDataService::? - SaveWardTypeMappingData : MethodFinish
INFO  2021-09-05 23:49:11,747 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2021-09-05 23:49:11,864 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2021-09-05 23:49:11,897 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2021-09-05 23:49:12,010 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2021-09-05 23:49:12,070 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2021-09-05 23:49:12,199 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2021-09-05 23:49:12,256 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2021-09-05 23:49:12,396 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2021-09-05 23:49:12,442 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2021-09-05 23:49:12,552 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2021-09-05 23:49:32,080 MappingDataService::? - GetWardTypeMappingDataWithModel : MethodStart
INFO  2021-09-05 23:49:32,192 MappingDataService::? - GetWardTypeMappingDataWithModel : MethodFinish
INFO  2021-09-05 23:49:32,230 MappingDataService::? - SaveWardTypeMappingData : MethodStart
INFO  2021-09-05 23:49:32,522 MappingDataService::? - SaveWardTypeMappingData : MethodFinish
INFO  2021-09-05 23:49:32,729 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2021-09-05 23:49:32,842 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2021-09-05 23:49:32,886 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2021-09-05 23:49:32,999 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2021-09-05 23:49:33,049 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2021-09-05 23:49:33,171 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2021-09-05 23:49:33,201 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2021-09-05 23:49:33,347 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2021-09-05 23:49:33,435 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2021-09-05 23:49:33,562 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2021-09-05 23:49:51,230 MappingDataService::? - GetWardTypeMappingDataWithModel : MethodStart
INFO  2021-09-05 23:49:51,339 MappingDataService::? - GetWardTypeMappingDataWithModel : MethodFinish
INFO  2021-09-05 23:49:51,402 MappingDataService::? - SaveWardTypeMappingData : MethodStart
INFO  2021-09-05 23:49:51,676 MappingDataService::? - SaveWardTypeMappingData : MethodFinish
INFO  2021-09-05 23:49:51,923 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2021-09-05 23:49:52,034 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2021-09-05 23:49:52,065 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2021-09-05 23:49:52,176 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2021-09-05 23:49:52,207 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2021-09-05 23:49:52,332 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2021-09-05 23:49:52,381 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2021-09-05 23:49:52,524 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2021-09-05 23:49:52,573 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2021-09-05 23:49:52,684 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2021-09-05 23:50:00,993 MappingDataService::? - GetWardTypeMappingData : MethodStart
INFO  2021-09-05 23:50:01,100 MappingDataService::? - GetWardTypeMappingData : MethodFinish
INFO  2021-09-05 23:50:03,412 MappingDataService::? - GetWardTypeMappingData : MethodStart
INFO  2021-09-05 23:50:03,524 MappingDataService::? - GetWardTypeMappingData : MethodFinish
INFO  2021-09-05 23:50:04,603 MappingDataService::? - GetWardTypeMappingDataWithModel : MethodStart
INFO  2021-09-05 23:50:04,717 MappingDataService::? - GetWardTypeMappingDataWithModel : MethodFinish
INFO  2021-09-05 23:50:04,752 MappingDataService::? - SaveWardTypeMappingData : MethodStart
INFO  2021-09-05 23:50:05,011 MappingDataService::? - SaveWardTypeMappingData : MethodFinish
INFO  2021-09-05 23:50:05,202 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2021-09-05 23:50:05,307 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2021-09-05 23:50:05,353 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2021-09-05 23:50:05,464 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2021-09-05 23:50:05,491 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2021-09-05 23:50:05,614 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2021-09-05 23:50:05,653 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2021-09-05 23:50:05,787 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2021-09-05 23:50:05,817 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
